Comment,Designator,Footprint,LCSC,Quantity
,PWR1,power_switch_smd_side,C136659,1
,RST1,reset_switch_tht_top,C398053,1
,"D1,D10,D11,D12,D13,D14,D15,D16,D17,D18,D19,D2,D20,D21,D3,D4,D5,D6,D7,D8,D9",diode_tht_sod123,C81598,21
,MH3,mounting_hole_npth,,1
CPG1316S01D02_mikeholscher,CPG1316,CPG1316S01D02_mikeholscher,,1
,MH4,mounting_hole_npth,,1
,MH1,mounting_hole_npth,,1
,MH2,mounting_hole_npth,,1
,JST1,battery_connector_jst_ph_2,,1
